BarCode,MRP,ItemName,Category,SubCategory,COMPANY,BRAND,UnitType
22627391,0,BOOTS CUC MOIST LTN UV-A&B SPF15 100 GM,PERSONAL CARE,"CREAMS, LOTIONS",IMPORTED,BOOTS ,PC
40057767,60,INTL NESTLE CHOCO KITKAT DARK 40g,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,NESTLE,KITKAT ,PC
40099118,10,WRIGLEY'S SPEARMINT GUM RS.10 PP,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,SPEARMINT ,PC
40111216,35,BOUNTY CHOCOLATE BAR 57G,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,MARS,BOUNTY ,PC
42059202,110,NIVEA ROOL-ON FRESH 50ML,PERSONAL CARE,DEODARANTS,BIERSDORF,NIVEA ,PC
42070139,10,WRIGLEYS JUICY FRUIT CHEW.GUM,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,JUICYFRUIT ,PC
42070146,10,WRIGLEY DOUBLMINT XTRA STRG GUM RS.10 PP,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,DOUBLE MINT ,PC
42070658,0,WRIGLEY'S DOUBLE MINT CHEWING GUM,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,DOUBLE MINT ,PC
42070665,0,WRIGLEY'S JUICYFRUIT CHEWING GUM,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,JUICYFRUIT ,PC
42110200,0,NIVEA SOFT 50ML JAR,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42113195,5,ORBIT CHEWING GUM WHITE,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,ORBIT ,PC
42113201,5,ORBIT CHEWING GUM FRUIT,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,ORBIT ,PC
42113218,5,ORBIT CHEWING GUM SPEARMINT,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,ORBIT ,PC
42113768,5,ORBIT CHEWING GUM {MINT},PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,ORBIT ,PC
42124429,0,WRIGLEY'S BOOMER FRESH MINT 18.6GM SLICK,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,BOOMER ,PC
42132233,0,NIVEA SOFT 100ML JAR,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42132240,210,NIVEA SKIN CRM SOFT MOISTURISING 200m,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42132257,0,NIVEA CREAM 100ML TIN,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42132264,0,NIVEA CREME 200ML TIN,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42132271,79,NIVEA LOTION DRY 75ML,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42132288,0,NIVEA BODY LOTION 75ML BTL,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42154679,11,ORBIT SUGAR FREE CHEWING GUM,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,ORBIT ,PC
42187233,120,NIVEA SKIN CREAM 100g,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42187240,179,NIVEA CREAM 200ML,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42187257,145,NIVEA SKIN CRM SOFT MOISTURISING 100M,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42188964,0,ORBIT WINTERFROST SUGAR FREEBLISTERPACK,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,ORBIT ,PC
42191995,219,NIVEA FACE SCRUB NORMAL SKIN 7,PERSONAL CARE,FACE CARE,BIERSDORF,NIVEA ,PC
42192008,99,NIVEA FACE WASH NORMAL SKIN 75,PERSONAL CARE,FACE WASH,BIERSDORF,NIVEA ,PC
42192015,79,NIVEA FACE WASH OILY SKIN 75ML,PERSONAL CARE,FACE WASH,BIERSDORF,NIVEA ,PC
42202905,5,ORBIT CHEWING GUM LIME,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,ORBIT ,PC
42202912,0,ORBIT S/F WHITE SLIM BOTTLE 27.5 G,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,ORBIT ,PC
42202929,0,ORBIT S/F SPEARMINT SLIM BOTTLE 27.5G,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,ORBIT ,PC
42202950,0,ORBIT PROFSFCHEWGUM11.2G,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,ORBIT ,PC
42202967,0,WRIGLEY'S DM SF PRESS MINT -LEMON ICE,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,DOUBLE MINT ,PC
42202974,0,WRIGLEY'S DM SF PRESS MINT-PEPPERMINT,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,DOUBLE MINT ,PC
42202981,0,WRIGLEY'S DM SF PRESS MINT -SPEARMINT,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,DOUBLE MINT ,PC
42203032,0,WRIGLEY DBL MINT XTRA STRG GUM RS,PACKAGED FOODS,CHOCOLATE & CONFECTIONARIES,WRIGLEYS,DOUBLE MINT ,PC
42203513,50,NIVEA DEO PEARL&BEAUTY 35ML,PERSONAL CARE,DEODARANTS,BIERSDORF,NIVEA ,PC
42204039,0,NIVEA BODY LOTION 250ML BTL,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42204053,189,NIVEA LOTION DRY 250ML,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42204060,254,NIVEA LOTION DRY 400ML+FREE,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42204084,210,NIVEA CREAM WHITE 200ML,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42204091,135,NIVEA CREAM WHITE 100ML,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42204169,80,NIVEA SKIN CRM SOFT MOISTURISING 50M,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42204244,75,NIVEA SKIN CREAM 60M,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42204251,115,NIVEA CREAM 100ML,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42204268,170,NIVEA SKIN CREAM 200g,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42207412,99,NIVEA BODY UV PROTECTION 75ML,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42210832,218,NIVEA SMOOTH MILK BODY LOTION 250m,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42210863,296,NIVEA SMOOTH BODY MILK 400ML,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42210900,109,NIVEA SMOOTH BODY MILK 75ML,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42213758,95,NIVEA HAPPY TIME B.LOTION 75ML,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
42214311,165,NIVEA DEODORANT ROLL ON WHITENING 50M,PERSONAL CARE,DEODARANTS,BIERSDORF,NIVEA ,PC
42217602,84,NIVEA LOTION NORMAL 75ML,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
