"barcode","productname","mrp"
12154565,"MGF HANGER BRANDED 6PCS",158
21000253,NANDI PRESSURE COOKER 5L,800
21002502,NANDI PRESSURE COOKER 7.5L,1075
21002536,NANDI PRESSURE COOKER 3L,675
21255012,MGF BAG BIN SM,78
21639647,MAM.WAFERS BC 150G,29
21679889,RAMSON COMMANDER 6 LEVERS LOCK,75
21754111,BOSCH PLUG,49
21872716,LEONARDO OLIV OIL 1LTR,416
22627391,BOOTS CUC MOIST LTN UV-A&B SPF15 100 GM,0
25521143,BHUNI SAWAIN,0
40057767,INTL NESTLE CHOCO KITKAT DARK 40g,60
40099118,WRIGLEY'S SPEARMINT GUM RS.10 PP,0
40111216,BOUNTY CHOCOLATE BAR 57G,35
40111315,TWIX 58GM,40
40144498,STORCK CANDIES NIMM2 PP 150g,185
40144979,STORCK CANDIES MANBO BX 106g,135
40235004,MARLBORO REGULAR 20S,0
42059202,NIVEA ROOL-ON FRESH 50ML,70
42070139,WRIGLEYS JUICY FRUIT CHEW.GUM,8
42070146,WRIGLEY DOUBLMINT XTRA STRG GUM RS.10 PP,0
42070658,WRIGLEY'S DOUBLE MINT CHEWING GUM,0
42070665,WRIGLEY'S JUICYFRUIT CHEWING GUM,0
42110200,NIVEA SOFT 50ML JAR,0
42113195,ORBIT CHEWING GUM WHITE,4
42113201,ORBIT CHEWING GUM FRUIT,4
42113218,ORBIT CHEWING GUM SPEARMINT,4
42113768,ORBIT CHEWING GUM {MINT},4
42124429,WRIGLEY'S BOOMER FRESH MINT 18.6GM SLICK,0
42132233,NIVEA SOFT 100ML JAR,0
42132240,NIVEA SKIN CRM SOFT MOISTURISING 200m,210
42132257,NIVEA CREAM 100ML TIN,0
42132264,NIVEA CREME 200ML TIN,0
42132271,NIVEA LOTION DRY 75ML,66
42132288,NIVEA BODY LOTION 75ML BTL,0
42154679,ORBIT SUGAR FREE CHEWING GUM,11
42187233,NIVEA SKIN CREAM 100g,120
42187240,NIVEA CREAM 200ML,149
42187257,NIVEA SKIN CRM SOFT MOISTURISING 100M,145
42188964,ORBIT WINTERFROST SUGAR FREEBLISTERPACK,0
42191995,NIVEA FACE SCRUB NORMAL SKIN 7,211
42192008,NIVEA FACE WASH NORMAL SKIN 75,88
42192015,NIVEA FACE WASH OILY SKIN 75ML,70
42202899,DM BLISTER PACK 8.4 GM,0
42202905,ORBIT CHEWING GUM LIME,4
42202912,ORBIT S/F WHITE SLIM BOTTLE 27.5 G,0
42202929,ORBIT S/F SPEARMINT SLIM BOTTLE 27.5G,0
42202950,ORBIT PROFSFCHEWGUM11.2G,0
42202967,WRIGLEY'S DM SF PRESS MINT -LEMON ICE,0
42202974,WRIGLEY'S DM SF PRESS MINT-PEPPERMINT,0
42202981,WRIGLEY'S DM SF PRESS MINT -SPEARMINT,0
42203032,WRIGLEY DBL MINT XTRA STRG GUM RS,0
42203513,NIVEA DEO PEARL&BEAUTY 35ML,41
